,T6,,,,,,,,,T8,,,,,,,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Frame,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
45,-68.489,12.2716,1757.6,-79.5353,21.2802,1738.31,-59.7441,15.2982,1734.62,10.8322,166.576,1774.59,17.1235,163.409,1756.56,-3.05097,172.155,1761.02
46,-66.6644,12.7487,1756.94,-77.5132,22.0103,1737.44,-57.9597,15.8282,1733.93,11.7271,168.133,1773.58,17.9417,164.878,1755.63,-2.49627,173.496,1760.19
47,-64.7923,13.2775,1756.24,-76.0162,22.1725,1736.68,-56.1962,16.3205,1733.17,12.5529,169.591,1772.54,18.8214,166.398,1754.71,-1.64965,174.85,1759.16
48,-62.9873,13.6254,1755.5,-74.2654,22.4889,1736.19,-54.3978,16.7381,1732.46,13.3712,171.046,1771.71,19.6966,167.859,1753.71,-0.783715,176.415,1758.17
49,-61.1226,14.0549,1754.75,-72.2773,23.1436,1735.3,-52.7652,17.0446,1731.67,14.3301,172.466,1770.79,20.6194,169.408,1752.75,-0.128213,177.553,1757.38
50,-59.3394,14.3354,1754.01,-70.7933,23.1001,1734.7,-50.9329,17.4269,1730.94,14.962,173.976,1769.78,21.3505,170.714,1751.8,0.955165,179.127,1756.34
51,-57.6094,14.6828,1753.25,-68.913,23.7035,1733.8,-49.3145,17.7253,1730.17,16.1597,175.466,1768.73,22.1661,172.219,1750.78,1.47553,180.319,1755.35
52,-55.8216,14.9357,1752.43,-67.2787,23.8105,1733.04,-47.6884,17.978,1729.27,16.7199,176.906,1767.85,22.8534,173.515,1749.68,2.29765,181.694,1754.41
53,-54.2226,15.1907,1751.55,-65.6658,24.1281,1732.12,-46.0158,18.2693,1728.35,17.6674,178.293,1766.69,23.6828,174.89,1748.68,3.21574,182.9,1753.54
54,-52.5653,15.3017,1750.61,-64.0863,24.2054,1731.24,-44.5,18.4516,1727.48,18.4935,179.696,1765.56,24.6393,176.207,1747.7,3.81048,184.249,1752.33
55,-50.998,15.44,1749.71,-62.5909,24.4373,1730.38,-42.9957,18.6036,1726.53,19.3825,180.874,1764.62,25.4348,177.543,1746.59,4.89367,185.332,1751.26
56,-49.5494,15.5458,1748.77,-61.2273,24.2884,1729.53,-41.5783,18.6263,1725.54,20.4791,182.249,1763.66,26.398,178.872,1745.59,5.50259,186.49,1750.32
57,-48.1182,15.5008,1747.81,-59.8129,24.4622,1728.48,-40.1563,18.7656,1724.54,21.121,183.347,1762.55,27.2297,180.087,1744.61,6.62454,187.658,1749.4
58,-46.7414,15.4952,1746.78,-58.4029,24.4052,1727.54,-38.7431,18.7517,1723.6,22.3543,184.641,1761.48,28.209,181.253,1743.6,7.39092,188.632,1748.47
59,-45.287,15.3793,1745.88,-57.1647,24.2979,1726.66,-37.4466,18.6791,1722.67,23.0501,185.682,1760.63,29.0765,182.364,1742.56,8.10944,189.784,1747.34
60,-43.9927,15.3194,1744.89,-55.8923,24.236,1725.73,-36.1797,18.6072,1721.71,24.1369,186.759,1759.7,29.9295,183.307,1741.73,9.5099,190.807,1746.55
61,-42.6711,15.1666,1743.93,-54.5663,24.0175,1724.82,-34.9397,18.4083,1720.67,25.1499,187.962,1758.67,31.0875,184.427,1740.76,10.1946,191.783,1745.58
62,-41.3505,14.8869,1742.86,-53.2953,23.8761,1723.78,-33.6867,18.2546,1719.65,26.1585,188.863,1757.6,32.0134,185.546,1739.66,11.1665,192.898,1744.66
63,-40.1074,14.5267,1741.87,-52.0532,23.495,1722.73,-32.5218,17.9146,1718.56,27.4629,190.043,1756.72,33.0552,186.534,1738.56,12.2739,193.726,1743.6
64,-38.8654,14.1424,1740.81,-50.8105,23.0671,1721.69,-31.2652,17.5661,1717.55,28.1507,190.905,1755.7,34.0237,187.539,1737.53,13.2121,194.732,1742.47
65,-37.6723,13.5465,1739.82,-49.6257,22.4966,1720.76,-30.058,17.0549,1716.58,29.2729,191.786,1754.6,35.0608,188.408,1736.52,14.4141,195.362,1741.67
66,-36.439,12.9037,1738.88,-48.6278,21.8559,1719.89,-28.9217,16.4421,1715.7,30.2454,192.69,1753.48,36.104,189.261,1735.41,15.1024,196.129,1740.5
67,-35.2463,12.1007,1737.94,-47.4713,21.0494,1719,-27.7541,15.7162,1714.69,31.5571,193.515,1752.37,37.0404,190.144,1734.36,16.3891,196.831,1739.39
68,-34.0927,11.2613,1737.05,-46.3509,20.1585,1718.09,-26.6724,14.8112,1713.79,32.6716,194.279,1751.3,38.2666,190.946,1733.16,17.4417,197.902,1738.38
69,-33.0036,10.3387,1736.1,-45.3332,19.1884,1717.14,-25.6221,13.9036,1712.82,33.4991,194.935,1750.17,39.2842,191.532,1732.13,18.2747,198.321,1737.44
70,-31.9067,9.27206,1735.15,-44.2806,18.2107,1716.2,-24.64,12.9207,1711.88,34.9864,195.652,1749.05,40.2586,192.234,1731,19.4692,198.821,1736.17
71,-30.8727,8.19328,1734.24,-43.2756,17.0386,1715.3,-23.7524,11.7237,1710.95,35.7595,196.237,1748.04,41.3255,192.669,1729.9,20.3318,199.428,1735.16
72,-29.9545,6.98477,1733.33,-42.3385,15.863,1714.44,-22.7496,10.6483,1710.01,37.0164,196.64,1746.91,42.4206,193.36,1728.84,21.5456,199.703,1734.18
73,-29.0131,5.68701,1732.35,-41.4499,14.6216,1713.5,-21.8339,9.43807,1709.07,38.1287,197.125,1745.75,43.6265,193.807,1727.78,22.806,200.119,1733.15
74,-28.1085,4.28856,1731.44,-40.6329,13.2643,1712.69,-21.0374,8.10669,1708.14,39.1551,197.424,1744.79,44.6815,194.066,1726.79,23.6159,200.33,1732.26
75,-27.1558,2.93376,1730.57,-39.8607,11.811,1711.86,-20.2928,6.70693,1707.24,40.4953,197.786,1743.91,45.7593,194.454,1725.64,24.9536,200.813,1730.95
76,-25.7211,-0.310761,1728.86,-38.4105,8.67965,1710.2,-18.8002,3.71324,1705.57,41.5151,197.874,1742.84,47.0192,194.603,1724.78,26.0532,200.77,1730.2
77,-24.9306,-2.0156,1728.02,-37.7131,7.02475,1709.53,-18.2249,2.06599,1704.7,42.4016,197.951,1742.02,48.0009,194.784,1723.85,26.8779,200.829,1729.57
78,-24.3967,-3.81479,1727.22,-37.2559,5.19067,1708.75,-17.7139,0.301255,1703.92,43.8894,198.091,1740.89,49.0225,194.752,1722.94,28.2271,201.138,1728.43
79,-23.8378,-5.71612,1726.39,-36.6801,3.471,1707.99,-17.1862,-1.37192,1703.14,44.7987,197.985,1740.16,50.1864,194.99,1721.98,29.1816,201.01,1727.8
80,-23.4846,-7.69667,1725.67,-36.3564,1.59396,1707.27,-16.8013,-3.21855,1702.41,45.7524,197.789,1739.39,51.1632,194.776,1721.1,30.1306,200.855,1726.73
81,-23.1557,-9.7292,1724.93,-36.1303,-0.395984,1706.63,-16.5106,-5.13278,1701.74,46.9855,197.809,1738.39,51.9991,194.623,1720.31,31.0097,200.79,1726
82,-22.8712,-11.8123,1724.27,-35.8992,-2.35823,1706.07,-16.3356,-7.03439,1701.17,47.922,197.754,1737.45,53.0267,194.409,1719.41,32.3567,200.718,1725.13
83,-22.729,-16.1809,1723.17,-35.7761,-6.61487,1705.07,-16.3557,-11.1862,1700.1,48.5443,197.559,1736.49,53.9748,194.301,1718.4,33.279,200.593,1724.08
84,-22.9706,-20.7369,1722.21,-36.1842,-11.0485,1704.29,-16.6795,-15.6151,1699.2,49.3133,197.037,1735.6,54.743,193.915,1717.33,33.7925,200.239,1723.13
85,-23.2509,-23.0674,1721.77,-36.4755,-13.3017,1703.95,-17.0549,-17.9419,1698.75,50.0857,196.583,1734.69,55.2598,193.538,1716.29,34.1793,199.463,1722.27
86,-23.6756,-25.5201,1721.42,-36.8181,-15.6308,1703.61,-17.4691,-20.3638,1698.42,50.8339,196.223,1733.54,55.9132,193.07,1715.41,34.9781,199.022,1721.02
87,-24.0663,-27.9416,1721.14,-37.2041,-17.9088,1703.39,-17.969,-22.7856,1698.13,51.4115,195.538,1732.53,56.4849,192.422,1714.39,35.773,198.565,1720.25
88,-24.6338,-30.4632,1720.8,-37.8589,-20.2437,1703.14,-18.5285,-25.2868,1697.81,52.1094,194.878,1731.6,57.0661,191.776,1713.43,36.1912,197.578,1719.47
89,-25.2565,-32.8942,1720.63,-38.3258,-22.5813,1702.99,-19.1955,-27.6987,1697.66,52.8111,194.114,1730.65,57.6338,190.97,1712.54,36.7018,196.925,1718.54
90,-25.9342,-35.3736,1720.36,-39.0691,-24.9581,1702.84,-19.8092,-30.1115,1697.42,53.1235,193.081,1730.16,58.2437,190.086,1711.75,37.4963,196.078,1717.5
91,-26.8069,-37.9289,1720.14,-39.8287,-27.2756,1702.68,-20.7117,-32.6165,1697.23,53.6148,192.176,1729.31,58.7841,189.206,1711.09,37.808,194.997,1717.02
92,-27.7019,-40.4532,1719.97,-40.8095,-29.7126,1702.56,-21.604,-35.046,1697.14,53.9795,191.044,1728.7,59.269,188.085,1710.42,38.5289,194.018,1716.28
93,-28.6278,-42.9326,1719.87,-41.758,-32.0782,1702.49,-22.5288,-37.5115,1697.02,54.6647,189.949,1727.91,59.6772,186.942,1709.87,38.8314,192.758,1715.9
94,-29.6784,-45.4991,1719.76,-42.6228,-34.4494,1702.42,-23.5276,-40.0211,1696.95,55.0167,188.691,1727.42,59.9674,185.808,1709.27,39.4386,191.55,1715.34
95,-30.7822,-48.0134,1719.69,-43.6719,-36.8189,1702.47,-24.6911,-42.4856,1696.87,55.4263,187.229,1726.93,60.3957,184.447,1708.78,39.8515,190.219,1714.98
96,-31.8665,-50.4885,1719.69,-44.861,-39.2701,1702.47,-25.7379,-44.7582,1696.87,55.8641,185.788,1726.43,60.769,183.103,1708.31,39.8568,188.533,1714.84
97,-33.0654,-53.0009,1719.71,-46.0579,-41.6601,1702.65,-26.7476,-46.6778,1696.82,56.2388,184.266,1726.11,61.0266,181.639,1707.88,40.1389,186.916,1714.47
98,-34.3257,-55.4423,1719.69,-47.2521,-43.9387,1702.71,-27.9675,-49.1109,1696.83,56.7199,182.63,1725.82,61.2844,179.952,1707.58,40.5281,185.381,1713.93
